"Mean_Minor","Mean_Round","SD_Round","Mean_variance_R","SD_median_R","SD_inertia_R","Mean_kurtosis_G","SD_variance_G","SD_kurtosis_G","SD_HGLRE_G","SD_SRHGLE_G","SD_LRHGLE_G","Mean_IDM_B","SD_entropy_B","SD_haraCorr_B","SD_IDM_B","SD_IDM_HSV","Mean_GLN_Lab","Mean_LGLRE_Lab","Mean_SRLGLE_Lab","Mean_LRLGLE_Lab","Mean_GLN_Luv","Mean_LGLRE_Luv","Mean_SRLGLE_Luv","Mean_LRLGLE_Luv","Mean_GLN_HE","Mean_skewness_BR","Mean_correlation_BR","Class"
23.5817351,0.666808893,0.148463664,719.6712733,23.17424483,96.25993328,-0.23369441,207.0640639,0.577874009,1847.743828,1847.743828,1847.743828,0.092851742,0.522962621,29280011.52,0.012756303,0.012512145,10.31351363,0.001266782,0.001266782,0.001266782,10.31351363,0.001266782,0.001266782,0.001266782,13.45150633,0.423847332,7.08e-06,"DCIS"
19.88077089,0.662097653,0.148801212,792.8762372,27.57993499,155.5132812,-0.273547045,368.1537235,0.64107195,3638.773078,3638.773078,3638.773078,0.098601114,0.587399773,62186299.89,0.020827926,0.021110131,7.649735409,0.001186972,0.001186972,0.001186972,7.649735409,0.001186972,0.001186972,0.001186972,9.639108805,0.334923947,4.46e-06,"DCIS"
20.80975862,0.712922213,0.134552613,570.8381787,31.07589067,125.9936318,0.122422147,235.9689282,0.762817678,2684.716133,2684.716133,2684.716133,0.1027382,0.431410936,23028324.9,0.014302455,0.013991011,9.321266156,0.001342546,0.001342546,0.001342546,9.321266156,0.001342546,0.001342546,0.001342546,11.43526271,0,0,"DCIS"
21.72984861,0.671993028,0.150246958,667.4618237,26.78188169,135.1018505,-0.084008264,279.3083142,0.619481181,2972.022899,2972.022899,2972.022899,0.095451719,0.482283169,31781483,0.013259202,0.014734812,9.682027238,0.001126791,0.001126791,0.001126791,9.682027238,0.001126791,0.001126791,0.001126791,12.11875896,0.056005085,2.13e-06,"DCIS"
22.75201639,0.661996926,0.152956501,799.3284254,23.51519161,156.7088444,-0.169853912,251.2696905,0.53086086,2503.978799,2503.978799,2503.978799,0.084919632,0.511576821,39600423.04,0.014572721,0.014871645,9.933026187,0.001193582,0.001193582,0.001193582,9.933026187,0.001193582,0.001193582,0.001193582,11.82708729,0.219207197,3.35e-06,"DCIS"
24.50048478,0.679052466,0.160384764,729.6752274,22.61397069,113.7027875,-0.072733207,212.6431536,0.572813217,1817.339575,1817.339575,1817.339575,0.088978936,0.540723249,34762263.5,0.014874542,0.01528508,11.03917221,0.001252029,0.001252029,0.001252029,11.03917221,0.001252029,0.001252029,0.001252029,13.58832686,0.665921638,1.45e-05,"DCIS"
18.26620833,0.698930147,0.140465418,949.8801312,24.79638998,174.3751823,-0.083433432,354.6665274,0.771836457,1903.127939,1903.127939,1903.127939,0.090880603,0.358523536,30731304.42,0.01338483,0.01394952,5.734247912,0.001750263,0.001750263,0.001750263,5.734247912,0.001750263,0.001750263,0.001750263,7.05545102,0.046827703,6.19e-07,"DCIS"
21.59824181,0.671554156,0.154336101,812.5322838,26.64551014,158.4025026,-0.014960831,337.8208917,0.855899358,2757.169786,2757.169786,2757.169786,0.100823701,0.437627442,30874329.86,0.015013129,0.016534228,9.23940699,0.001522054,0.001522054,0.001522054,9.23940699,0.001522054,0.001522054,0.001522054,11.36132064,0.108835768,1.45e-06,"DCIS"
23.44465995,0.633129032,0.159974433,773.1638626,32.26708624,119.737116,-0.251398237,360.300389,0.748112128,3485.556451,3485.556451,3485.556451,0.095811825,0.589499878,40899936.15,0.014209516,0.014469911,10.27731178,0.001177621,0.001177621,0.001177621,10.27731178,0.001177621,0.001177621,0.001177621,13.64412941,0.058827187,-4.18e-08,"DCIS"
20.66027337,0.626372781,0.166830602,887.6199555,28.5304826,198.9769558,-0.242592208,403.6731645,0.615127899,2918.626214,2918.626214,2918.626214,0.09247294,0.481958057,39161099.5,0.015977283,0.016424615,8.355209027,0.001530459,0.001530459,0.001530459,8.355209027,0.001530459,0.001530459,0.001530459,10.49669364,0.028371554,5.06e-07,"DCIS"
21.65764906,0.673456559,0.146815094,677.0806149,25.17637451,116.107991,-0.217844217,307.011215,0.516764146,2772.247906,2772.247906,2772.247906,0.098941895,0.5852716,39427269.04,0.017901891,0.017743162,9.813853145,0.000993585,0.000993585,0.000993585,9.813853145,0.000993585,0.000993585,0.000993585,13.07569887,0.376696053,8.32e-06,"DCIS"
22.1759463,0.672440741,0.164074403,705.9865531,28.03181641,144.8756653,-0.066233629,278.5634176,0.66138032,2669.712818,2669.712818,2669.712818,0.100204482,0.524073632,25356577.96,0.016380417,0.01671812,10.83200605,0.001254463,0.001254463,0.001254463,10.83200605,0.001254463,0.001254463,0.001254463,13.15577425,0.029558616,-1.92e-08,"DCIS"
23.72434573,0.650150138,0.167398202,774.7831319,26.96961244,111.9421116,-0.325116343,245.9207385,0.485092749,1690.665383,1690.665383,1690.665383,0.101650027,0.583114887,30644449.09,0.014297511,0.015528003,11.06451517,0.001659235,0.001659235,0.001659235,11.06451517,0.001659235,0.001659235,0.001659235,14.81430603,0.458036676,6e-06,"DCIS"
25.38884831,0.66023221,0.164234578,682.8207009,32.46263175,159.699519,0.333828259,265.5381074,1.073247954,3065.069926,3065.069926,3065.069926,0.102305319,0.558377777,29356341.08,0.018326895,0.01861998,13.46691835,0.001484486,0.001484486,0.001484486,13.46691835,0.001484486,0.001484486,0.001484486,18.5972116,0,0,"DCIS"
22.90000265,0.664994709,0.150887753,958.126963,24.29130351,152.166657,-0.30723705,486.1944008,0.692175535,3591.350477,3591.350477,3591.350477,0.099705006,0.584484314,58830776.09,0.017599999,0.018766065,10.42722058,0.001193948,0.001193948,0.001193948,10.42722058,0.001193948,0.001193948,0.001193948,12.94468212,1.111519259,2.93e-05,"DCIS"
22.23078253,0.593023173,0.178642014,1000.721916,26.3601138,203.8971932,0.245420174,540.2913735,1.162110038,4435.777545,4435.777545,4435.777545,0.086627804,0.569641891,58099829.72,0.016300147,0.016311457,10.24025032,0.001384207,0.001384207,0.001384207,10.24025032,0.001384207,0.001384207,0.001384207,13.97607229,0.243518408,2.38e-06,"DCIS"
23.87396714,0.684981429,0.164361516,917.3199391,28.44276804,520.1800536,0.132450055,448.1572783,0.815188286,3387.678815,3387.678815,3387.678815,0.082774085,0.490812349,41574242.89,0.014999194,0.014838111,10.69822544,0.001594903,0.001594903,0.001594903,10.69822544,0.001594903,0.001594903,0.001594903,13.31892951,0.009217386,2.1e-07,"DCIS"
